date,capital,position_value,total_value,position,return,cum_return
2020-01-02,100000.0,0.0,100000.0,0,,
2020-01-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-06,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-07,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-08,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-09,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-10,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-13,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-14,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-15,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-16,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-17,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-20,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-21,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-22,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-23,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-04,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-05,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-06,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-07,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-10,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-11,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-12,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-13,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-14,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-17,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-18,14796.446599999996,85177.0,99973.4466,100,-0.0002655340000000672,-0.0002655340000000672
2020-02-19,14796.446599999996,84677.0,99473.4466,100,-0.005001328022635199,-0.005265534000000072
2020-02-20,14796.446599999996,86418.0,101214.4466,100,0.017502158209123486,0.012144465999999854
2020-02-21,14796.446599999996,87878.0,102674.4466,100,0.014424818284784369,0.026744466000000022
2020-02-24,14796.446599999996,85427.0,100223.4466,100,-0.023871567670080807,0.0022344659999999905
2020-02-25,14796.446599999996,83665.0,98461.4466,100,-0.017580716486754744,-0.01538553400000009
2020-02-26,14796.446599999996,82377.0,97173.4466,100,-0.013081262204408861,-0.028265534000000092
2020-02-27,14796.446599999996,84477.0,99273.4466,100,0.021610841989008867,-0.0072655340000001845
2020-02-28,14796.446599999996,81874.0,96670.4466,100,-0.026220505977678,-0.03329553400000018
2020-03-02,14796.446599999996,81878.0,96674.4466,100,4.1377692362898344e-05,-0.03325553400000014
2020-03-03,14796.446599999996,86677.0,101473.4466,100,0.04964083238931094,0.014734465999999724
2020-03-04,14796.446599999996,88501.0,103297.4466,100,0.017975145824996597,0.03297446599999976
2020-03-05,14796.446599999996,89933.0,104729.4466,100,0.0138628789687818,0.04729446599999987
2020-03-06,14796.446599999996,92075.0,106871.4466,100,0.020452700453780448,0.06871446599999986
2020-03-09,14796.446599999996,88008.0,102804.4466,100,-0.03805506643156076,0.02804446599999988
2020-03-10,14796.446599999996,88177.0,102973.4466,100,0.0016438977650212738,0.02973446599999985
2020-03-11,14796.446599999996,90977.0,105773.4466,100,0.027191475981925617,0.05773446599999987
2020-03-12,14796.446599999996,89387.0,104183.4466,100,-0.015032128110685994,0.04183446599999985
2020-03-13,14796.446599999996,84877.0,99673.4466,100,-0.04328902668497436,-0.003265534000000181
2020-03-16,14796.446599999996,83077.0,97873.4466,100,-0.01805897218768393,-0.021265534000000197
2020-03-17,14796.446599999996,77989.0,92785.4466,100,-0.05198549940510622,-0.07214553400000012
2020-03-18,14796.446599999996,77676.0,92472.4466,100,-0.003373373858395645,-0.0752755340000002
2020-03-19,87660.5808,0.0,87660.5808,0,-0.052035670915189125,-0.12339419200000024
2020-03-20,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-23,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-24,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-25,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-26,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-27,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-30,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-03-31,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-04-01,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-04-02,87660.5808,0.0,87660.5808,0,0.0,-0.12339419200000024
2020-04-03,-2442.44200000001,90075.0,87632.55799999999,100,-0.0003196739029591722,-0.12367442000000028
2020-04-07,-2442.44200000001,91766.0,89323.55799999999,100,0.019296481109224217,-0.1067644200000003
2020-04-08,-2442.44200000001,92077.0,89634.55799999999,100,0.003481724272559772,-0.10365442000000025
2020-04-09,-2442.44200000001,91673.0,89230.55799999999,100,-0.00450719018439294,-0.10769442000000029
2020-04-10,-2442.44200000001,92227.0,89784.55799999999,100,0.006208635386993677,-0.10215442000000041
2020-04-13,-2442.44200000001,91727.0,89284.55799999999,100,-0.005568886355713842,-0.10715442000000042
2020-04-14,-2442.44200000001,93477.0,91034.55799999999,100,0.01960025383112729,-0.08965442000000035
2020-04-15,-2442.44200000001,95587.0,93144.55799999999,100,0.02317801114605289,-0.06855442000000034
2020-04-16,-2442.44200000001,95287.0,92844.55799999999,100,-0.0032208000815249216,-0.07155442000000034
2020-04-17,-2442.44200000001,97378.0,94935.55799999999,100,0.022521513861911036,-0.050644420000000356
2020-04-20,-2442.44200000001,98557.0,96114.55799999999,100,0.012418950547486096,-0.03885442000000039
2020-04-21,-2442.44200000001,96177.0,93734.55799999999,100,-0.024762117722062493,-0.06265442000000043
2020-04-22,-2442.44200000001,97099.0,94656.55799999999,100,0.00983628684737603,-0.05343442000000043
2020-04-23,-2442.44200000001,101654.0,99211.55799999999,100,0.04812133566065224,-0.007884420000000447
2020-04-24,-2442.44200000001,100395.0,97952.55799999999,100,-0.012690053713298233,-0.020474420000000437
2020-04-27,-2442.44200000001,101973.0,99530.55799999999,100,0.01610983962256496,-0.004694420000000532
2020-04-28,-2442.44200000001,104065.00000000001,101622.558,100,0.02101867046701389,0.016225579999999518
2020-04-29,-2442.44200000001,102677.0,100234.55799999999,100,-0.013658384785000366,0.002345579999999403
2020-04-30,-2442.44200000001,102765.00000000001,100322.558,100,0.0008779407198065137,0.003225579999999395
2020-05-06,-2442.44200000001,101877.0,99434.55799999999,100,-0.008851448943317575,-0.005654420000000715
2020-05-07,-2442.44200000001,106177.0,103734.55799999999,100,0.04324452269401147,0.03734557999999932
2020-05-08,-2442.44200000001,107728.0,105285.55799999999,100,0.014951622968307321,0.05285557999999946
2020-05-11,-2442.44200000001,108244.0,105801.55799999999,100,0.004900957071434231,0.05801557999999951
2020-05-12,-2442.44200000001,108477.0,106034.55799999999,100,0.002202236001099367,0.060345579999999455
2020-05-13,-2442.44200000001,109165.00000000001,106722.558,100,0.006488450680390612,0.06722557999999967
2020-05-14,-2442.44200000001,109388.00000000001,106945.558,100,0.0020895301253929244,0.06945557999999963
2020-05-15,-2442.44200000001,107065.00000000001,104622.558,100,-0.02172133226889139,0.046225579999999766
2020-05-18,-2442.44200000001,107390.00000000001,104947.558,100,0.0031064046436333204,0.04947557999999974
2020-05-19,-2442.44200000001,110677.0,108234.55799999999,100,0.031320404806369995,0.0823455799999997
2020-05-20,-2442.44200000001,110558.0,108115.55799999999,100,-0.0010994639992893962,0.08115557999999967
2020-05-21,-2442.44200000001,112163.00000000001,109720.558,100,0.014845226993140281,0.09720558000000001
2020-05-22,-2442.44200000001,109165.00000000001,106722.558,100,-0.027323958742535792,0.0672255799999999
2020-05-25,-2442.44200000001,108977.0,106534.55799999999,100,-0.0017615769666992076,0.06534557999999979
2020-05-26,-2442.44200000001,112377.0,109934.55799999999,100,0.03191452673976447,0.0993455799999996
