date,capital,position_value,total_value,position,return,cum_return
2020-01-02,100000.0,0.0,100000.0,0,,
2020-01-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-06,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-07,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-08,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-09,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-10,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-13,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-14,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-15,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-16,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-17,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-20,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-21,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-22,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-23,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-04,21997.6063,77978.0,99975.6063,100,-0.00024393700000002738,-0.00024393700000002738
2020-02-05,21997.6063,80180.0,102177.6063,100,0.022025372803365473,0.0217760629999999
2020-02-06,21997.6063,82079.0,104076.6063,100,0.01858528564883799,0.040766062999999964
2020-02-07,21997.6063,82979.0,104976.6063,100,0.008647476431022039,0.04976606300000008
2020-02-10,21997.6063,82597.0,104594.6063,100,-0.0036389059759498465,0.04594606300000015
2020-02-11,21997.6063,83157.0,105154.6063,100,0.005354004568780546,0.0515460630000002
2020-02-12,21997.6063,85465.0,107462.6063,100,0.02194863431294114,0.07462606300000019
2020-02-13,21997.6063,85678.0,107675.6063,100,0.001982084813813012,0.07675606300000015
2020-02-14,21997.6063,85188.0,107185.6063,100,-0.004550705743274763,0.07185606300000003
2020-02-17,21997.6063,85117.0,107114.6063,100,-0.000662402373330595,0.07114606300000004
2020-02-18,21997.6063,85177.0,107174.6063,100,0.0005601476966825558,0.07174606299999997
2020-02-19,21997.6063,84677.0,106674.6063,100,-0.004665284224141808,0.06674606300000008
2020-02-20,21997.6063,86418.0,108415.6063,100,0.016320660186959657,0.08415606300000023
2020-02-21,21997.6063,87878.0,109875.6063,100,0.013466695892102365,0.09875606300000017
2020-02-24,21997.6063,85427.0,107424.6063,100,-0.022307044143245802,0.07424606300000014
2020-02-25,105636.5071,0.0,105636.5071,0,-0.01664515478889861,0.05636507100000032
2020-02-26,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-02-27,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-02-28,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-02,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-03,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-04,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-05,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-06,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-09,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-10,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-11,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-12,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-13,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-16,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-17,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-18,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-19,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-20,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-23,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-24,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-25,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-26,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-27,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-30,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-03-31,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-01,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-02,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-03,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-07,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-08,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-09,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-10,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-13,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-14,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-15,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-16,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-17,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-20,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-21,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-22,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-23,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-24,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-27,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-28,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-29,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-04-30,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-06,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-07,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-08,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-11,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-12,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-13,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-14,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-15,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-18,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-19,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-20,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-21,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-22,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-25,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-26,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-27,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-28,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-05-29,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-01,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-02,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-03,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-04,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-05,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-08,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-09,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-10,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
2020-06-11,105636.5071,0.0,105636.5071,0,0.0,0.05636507100000032
